Designator,Mid X,Mid Y,Layer,Rotation
C1,62.23,12.70,Top,180.0
C2,52.07, 8.51,Top,0.0
C3,52.07,22.61,Top,90.0
C4,46.99,20.32,Top,180.0
C5,45.72, 8.13,Top,0.0
C6,52.07,19.56,Top,0.0
C16,135.83,11.35,Top,0.0
C17,137.16,15.52,Top,270.0
C18,136.12,29.50,Top,270.0
C19,132.32,36.04,Top,90.0
C20,135.12,21.60,Top,270.0
C21,36.83, 2.67,Top,90.0
C22,33.01, 8.58,Top,0.0
D2,140.07, 6.93,Top,0.0
D3,140.81,34.29,Top,180.0
FB2,141.18,10.31,Top,180.0
FB3,35.98, 6.04,Top,180.0
FB6,141.47,29.50,Top,180.0
FX,104.14, 6.10,Top,0.0
L3,126.47,10.50,Top,180.0
L4,125.47,30.50,Top,180.0
Q1,57.15, 7.62,Top,90.0
R1,45.72, 5.08,Top,0.0
R2,57.66,16.76,Top,90.0
R3,57.15,24.13,Top,180.0
R4,50.80, 5.08,Top,0.0
R5,62.23, 7.62,Top,90.0
R6,62.23,19.05,Top,0.0
R7,41.91,26.67,Top,0.0
R8,46.99,26.67,Top,180.0
R9,52.07,26.67,Top,90.0
R10,57.15,27.94,Top,180.0
R11,133.62,14.96,Top,270.0
R12,130.62,14.96,Top,270.0
R13,36.83,22.86,Top,0.0
R14,20.32,15.24,Top,90.0
R15,133.35,40.64,Top,180.0
R17,130.62,28.96,Top,90.0
R18,133.62,28.96,Top,90.0
U1,49.53,13.97,Top,0.0
~,73.66, 6.10,Top,0.0
